trialID	trialType	cond	animacy	Target	Contrast	Distractor1	Distractor2
p2085	#N/A	#N/A	#N/A	pants_white	eggs_white	comb_white	bowl_red_small
p2012	#N/A	#N/A	#N/A	chair_black	chair_blue_small	bucket_green_small	pants_yellow_small
p2045	#N/A	#N/A	#N/A	rope_yellow_small	rope_black	fish_blue	chair_white
2074	size	two_contrast	inanimate	chair_black	chair_white_small	bucket_yellow	shirt_red
2059	high-entropy_natural	two_contrast	inanimate	flower_yellow	flower_red_small	cup_black	bucket_white
2065	size	contrast	inanimate	banana_yellow_small	banana_yellow	pepper_red_small	pot_black
2080	filler	same_color_3	filler	chair_blue	bowl_blue_small	pencil_blue	pot_green
2087	filler	same_color_4	filler	bowl_green_small	tomato_green_small	butterfly_green	bucket_green
2025	low-entropy_natural	no_contrast	animate	snake_black	flower_yellow	shoes_blue	pot_black
2041	high-entropy_man-made	two_contrast	inanimate	pot_yellow	pot_black_small	horse_white_small	pants_green
2067	size	no_contrast	inanimate	pencil_red_small	chair_red	apple_green_small	comb_blue
2097	filler	size_pairs	filler	eggs_blue	tomato_green	tomato_green_small	fish_blue
2049	high-entropy_natural	contrast	inanimate	flower_yellow	flower_red	shoes_white	pot_black
2035	high-entropy_man-made	contrast	inanimate	pencil_blue	pencil_black	cup_red	pepper_green
2086	filler	same_color_4	filler	shirt_black_small	horse_black	cup_black	rope_black
2050	high-entropy_natural	contrast	animate	butterfly_yellow	butterfly_red	comb_white	fish_blue
2019	low-entropy_natural	contrast	animate	bird_red	bird_green	cup_yellow	bowl_blue
2070	size	no_contrast	inanimate	tomato_green	bucket_green_small	apple_red	banana_yellow
2066	size	no_contrast	inanimate	cup_yellow	banana_yellow_small	pencil_green	pants_black_small
2079	filler	same_color_3	filler	pencil_red	pepper_red_small	book_red	rope_blue
2099	filler	size_pairs	filler	butterfly_green	banana_yellow_small	banana_yellow	pot_blue
2009	low-entropy_man-made	no_contrast	inanimate	pants_black	spider_white	shoes_blue	pepper_red
2073	size	two_contrast	inanimate	tomato_red	tomato_green_small	horse_white_small	rope_black
2008	low-entropy_man-made	no_contrast	inanimate	rope_red	leaf_yellow	apple_green	bowl_blue
2057	high-entropy_natural	two_contrast	inanimate	snake_yellow_small	snake_red	pencil_white	fish_blue
2075	size	two_contrast	inanimate	banana_yellow_small	banana_green	horse_white_small	pants_blue
2003	low-entropy_man-made	contrast	inanimate	pencil_black	pencil_green	tomato_red	bowl_blue
2078	filler	same_color_3	filler	book_white_small	chair_white	shoes_white	rope_yellow
2005	low-entropy_man-made	contrast	inanimate	chair_black	chair_blue	shoes_green	butterfly_yellow
2039	high-entropy_man-made	no_contrast	inanimate	pot_yellow	bowl_black	rope_green	book_red
2071	size	two_contrast	inanimate	pants_blue	pants_yellow_small	bowl_blue_small	horse_white
2024	low-entropy_natural	no_contrast	inanimate	tomato_red	spider_green	cup_yellow	bowl_blue
2027	low-entropy_natural	two_contrast	animate	snake_black	snake_yellow_small	tomato_green_small	pepper_red
2060	high-entropy_natural	two_contrast	animate	butterfly_yellow_small	butterfly_red	book_black_small	comb_blue
2088	filler	same_color_4	filler	shoes_white	book_white_small	horse_white_small	pencil_white
2046	high-entropy_natural	contrast	inanimate	banana_yellow	banana_green	bucket_red	book_black
2077	filler	same_color_3	filler	apple_green_small	pepper_green	bowl_green_small	book_red
2043	high-entropy_man-made	two_contrast	inanimate	chair_blue	chair_black_small	bird_yellow	pot_green
2030	low-entropy_natural	two_contrast	animate	butterfly_black	butterfly_green_small	flower_yellow_small	bird_blue
2042	high-entropy_man-made	two_contrast	inanimate	shoes_blue_small	shoes_white	leaf_green	pants_black
2063	size	contrast	inanimate	book_black_small	book_black	apple_green_small	comb_blue
2022	low-entropy_natural	no_contrast	inanimate	apple_red	fish_green	pencil_yellow	book_white
2014	low-entropy_man-made	two_contrast	inanimate	pants_black_small	pants_white	banana_yellow	leaf_green_small
2054	high-entropy_natural	no_contrast	animate	snake_yellow	fish_red	comb_blue	book_white
2034	high-entropy_man-made	contrast	inanimate	rope_yellow	rope_black	pencil_red	bucket_white
2068	size	no_contrast	inanimate	pants_black	book_black_small	pepper_green	cup_red
2013	low-entropy_man-made	two_contrast	inanimate	rope_red	rope_yellow_small	apple_green_small	chair_white
2011	low-entropy_man-made	two_contrast	inanimate	comb_red_small	comb_blue	shoes_white	chair_yellow
2026	low-entropy_natural	two_contrast	inanimate	tomato_red_small	tomato_green	pencil_yellow	pants_blue
2100	filler	size_pairs	filler	pencil_black	leaf_red	leaf_green	book_white
2033	high-entropy_man-made	contrast	inanimate	pants_blue	pants_white	rope_yellow	pot_green
2038	high-entropy_man-made	no_contrast	inanimate	comb_blue	butterfly_red	apple_green	horse_white
2089	filler	same_color_4	filler	cup_red_small	bowl_red_small	apple_red	pencil_red_small
2062	size	contrast	inanimate	bowl_blue	bowl_blue_small	book_black	rope_yellow
2055	high-entropy_natural	no_contrast	inanimate	eggs_blue	butterfly_white	bucket_green	comb_white
2096	filler	size_pairs	filler	banana_yellow	ball_green	cup_black_small	dog_black
2069	size	no_contrast	inanimate	apple_green_small	pencil_green	pants_black_small	rope_yellow
2098	filler	size_pairs	filler	bowl_black_small	book_white_small	book_white	pants_yellow
2090	filler	same_color_4	filler	shoes_blue_small	pants_blue	bowl_blue_small	spider_blue_small
2018	low-entropy_natural	contrast	inanimate	flower_black	flower_green	comb_blue	book_yellow
2064	size	contrast	inanimate	chair_blue	chair_blue_small	pants_white	bucket_green
2020	low-entropy_natural	contrast	animate	butterfly_black	butterfly_green	shoes_blue	cup_yellow
2061	size	contrast	inanimate	pepper_red_small	pepper_red	cup_yellow_small	butterfly_black
2072	size	two_contrast	inanimate	apple_red_small	apple_green	book_white	bowl_black
2076	filler	same_color_3	filler	pencil_black	book_black	pot_black	pants_white_small
2007	low-entropy_man-made	no_contrast	inanimate	bowl_black	butterfly_green	cup_blue	book_yellow
2031	high-entropy_man-made	contrast	inanimate	chair_blue	chair_black	book_white	banana_yellow
2001	low-entropy_man-made	contrast	inanimate	shirt_black	shirt_red	cup_blue	chair_white
2051	high-entropy_natural	no_contrast	animate	bird_blue	banana_yellow	rope_black	comb_white
