trialID	trialType	cond	animacy	Target	Contrast	Distractor1	Distractor2
p1085	#N/A	#N/A	#N/A	pants_white	eggs_white	comb_white	bowl_red_small
p1013	#N/A	#N/A	#N/A	pencil_black_small	pencil_white	apple_green_small	chair_white
p1045	#N/A	#N/A	#N/A	shoes_yellow	shoes_red_small	fish_blue	chair_white
1089	filler	same_color_4	filler	cup_red_small	bowl_red_small	apple_red	pencil_red_small
1024	low-entropy_natural	no_contrast	animate	bird_red	bucket_green	cup_yellow	bowl_blue
1031	high-entropy_man-made	color_contrast	inanimate	bowl_blue	bowl_black	pencil_yellow	pot_red
1086	filler	same_color_4	filler	shirt_black_small	horse_black	cup_black	rope_black
1076	filler	same_color_3	filler	pencil_black	book_black	pot_black	pants_white_small
1046	high-entropy_natural	color_contrast	animate	bird_blue	bird_yellow	rope_black	comb_white
1071	size	two_contrast	inanimate	cup_red	cup_yellow_small	bowl_blue_small	horse_white
1020	low-entropy_natural	color_contrast	animate	snake_black	snake_yellow	shoes_blue	pot_black
1078	filler	same_color_3	filler	book_white_small	chair_white	shoes_white	rope_yellow
1063	size	size_contrast	inanimate	pants_black	pants_black_small	pepper_green	cup_red
1023	low-entropy_natural	no_contrast	inanimate	flower_black	pot_green	comb_blue	book_yellow
1041	high-entropy_man-made	two_contrast	inanimate	bowl_blue_small	bowl_red	horse_white_small	pants_green
1010	low-entropy_man-made	no_contrast	inanimate	chair_black	bowl_blue	shoes_green	butterfly_yellow
1011	low-entropy_man-made	two_contrast	inanimate	shirt_black	shirt_blue_small	shoes_white	chair_yellow
1039	high-entropy_man-made	no_contrast	inanimate	rope_yellow	pot_black	pencil_red	bucket_white
1097	filler	size_pairs	filler	eggs_blue	tomato_green	tomato_green_small	fish_blue
1075	size	two_contrast	inanimate	book_red	book_black_small	horse_white_small	pants_blue
1051	high-entropy_natural	no_contrast	inanimate	banana_yellow	rope_green	bucket_red	book_black
1065	size	size_contrast	inanimate	tomato_green	tomato_green_small	apple_red	banana_yellow
1055	high-entropy_natural	no_contrast	animate	butterfly_yellow	tomato_red	comb_white	fish_blue
1060	high-entropy_natural	two_contrast	animate	pepper_yellow_small	pepper_green	book_black_small	comb_blue
1004	low-entropy_man-made	color_contrast	inanimate	pants_black	pants_white	shoes_blue	pepper_red
1015	low-entropy_man-made	two_contrast	inanimate	bowl_black_small	bowl_green	chair_blue	butterfly_yellow
1035	high-entropy_man-made	color_contrast	inanimate	shoes_blue	shoes_white	pepper_red	rope_yellow
1079	filler	same_color_3	filler	pencil_red	pepper_red_small	book_red	rope_blue
1036	high-entropy_man-made	no_contrast	inanimate	chair_blue	cup_black	book_white	banana_yellow
1077	filler	same_color_3	filler	apple_green_small	pepper_green	bowl_green_small	book_red
1028	low-entropy_natural	two_contrast	inanimate	apple_red_small	apple_green	cup_yellow_small	fish_blue
1070	size	no_contrast	inanimate	banana_yellow_small	cup_green	pepper_red_small	pot_black
1033	high-entropy_man-made	color_contrast	inanimate	comb_blue	comb_red	apple_green	horse_white
1080	filler	same_color_3	filler	chair_blue	bowl_blue_small	pencil_blue	pot_green
1066	size	no_contrast	inanimate	pepper_red_small	apple_green	cup_yellow_small	butterfly_black
1043	high-entropy_man-made	two_contrast	inanimate	comb_blue	comb_red_small	bird_yellow	pot_green
1012	low-entropy_man-made	two_contrast	inanimate	shoes_red_small	shoes_white	bucket_green_small	pants_yellow_small
1062	size	size_contrast	inanimate	pencil_red_small	pencil_red	apple_green_small	comb_blue
1019	low-entropy_natural	color_contrast	inanimate	tomato_red	tomato_green	cup_yellow	bowl_blue
1096	filler	size_pairs	filler	banana_yellow	ball_green	cup_black_small	dog_black
1006	low-entropy_man-made	no_contrast	inanimate	shirt_black	book_red	cup_blue	chair_white
1056	high-entropy_natural	two_contrast	animate	bird_blue_small	bird_yellow	cup_black_small	flower_green
1050	high-entropy_natural	color_contrast	inanimate	eggs_blue	eggs_white	bucket_green	comb_white
1027	low-entropy_natural	two_contrast	animate	dog_black_small	dog_white	tomato_green_small	pepper_red
1068	size	no_contrast	inanimate	book_black_small	pants_white	apple_green_small	comb_blue
1025	low-entropy_natural	no_contrast	animate	butterfly_black	banana_green	shoes_blue	cup_yellow
1017	low-entropy_natural	color_contrast	inanimate	apple_red	apple_green	pencil_yellow	book_white
1064	size	size_contrast	inanimate	apple_green_small	apple_green	pants_black_small	rope_yellow
1003	low-entropy_man-made	color_contrast	inanimate	rope_red	rope_yellow	apple_green	bowl_blue
1058	high-entropy_natural	two_contrast	inanimate	banana_yellow_small	banana_green	horse_white_small	butterfly_red
1029	low-entropy_natural	two_contrast	inanimate	leaf_red	leaf_green_small	bowl_yellow	chair_black
1090	filler	same_color_4	filler	shoes_blue_small	pants_blue	bowl_blue_small	spider_blue_small
1054	high-entropy_natural	no_contrast	inanimate	flower_blue	comb_red	shoes_white	pot_black
1088	filler	same_color_4	filler	shoes_white	book_white_small	horse_white_small	pencil_white
1049	high-entropy_natural	color_contrast	inanimate	snake_yellow	snake_red	comb_blue	book_white
1100	filler	size_pairs	filler	pencil_black	leaf_red	leaf_green	book_white
1073	size	two_contrast	inanimate	pepper_yellow_small	pepper_red	horse_white_small	rope_black
1061	size	size_contrast	inanimate	cup_yellow	cup_yellow_small	pencil_green	pants_black_small
1074	size	two_contrast	inanimate	bowl_blue	bowl_red_small	bucket_yellow	shirt_red
1067	size	no_contrast	inanimate	bowl_blue	pencil_red_small	book_black	rope_yellow
1038	high-entropy_man-made	no_contrast	inanimate	pants_blue	shoes_white	rope_yellow	pot_green
1044	high-entropy_man-made	two_contrast	inanimate	pants_yellow_small	pants_white	bowl_red_small	cup_black
1069	size	no_contrast	inanimate	chair_blue	bowl_red_small	pants_white	bucket_green
1072	size	two_contrast	inanimate	pencil_black_small	pencil_blue	book_white	bowl_black
1087	filler	same_color_4	filler	bowl_green_small	tomato_green_small	butterfly_green	bucket_green
1098	filler	size_pairs	filler	bowl_black_small	book_white_small	book_white	pants_yellow
1002	low-entropy_man-made	color_contrast	inanimate	bowl_black	bowl_green	cup_blue	book_yellow
1099	filler	size_pairs	filler	butterfly_green	banana_yellow_small	banana_yellow	pot_blue
1008	low-entropy_man-made	no_contrast	inanimate	pencil_black	ball_green	tomato_red	bowl_blue
